Year,Date,HomeTeam,AwayTeam,HomeTeamCity,AwayTeamCity,HomeTeamOffense,HomeTeamDefense,AwayTeamOffense,AwayTeamDefense,HomeScore,AwayScore,HomeWin,HomeWinProbability,FieldGoalPercentage_Home,FieldGoalPercentage_Away,Attendance
2022,2022-08-28,Team E,Team A,Toronto,Los Angeles,79,77,77,78,72,77,0,0.7,0.4797821973348971,0.4681619518002684,14039
2020,2020-10-27,Team I,Team C,Chicago,Houston,83,82,82,82,62,75,0,0.65,0.45822056408428274,0.4533915800086382,11861
2020,2020-05-11,Team H,Team G,Philadelphia,Dallas,77,76,91,78,72,98,0,0.1,0.46526379349535263,0.43135749434560333,9954
2022,2022-09-03,Team I,Team E,Philadelphia,Los Angeles,83,70,92,78,79,124,0,0.14999999999999997,0.4543943389732895,0.4824728425191415,6491
2023,2023-03-10,Team J,Team A,New York,New York,85,86,92,87,60,78,0,0.24999999999999994,0.5239521552113602,0.5069002882262674,14082
2023,2023-07-07,Team D,Team C,Los Angeles,Philadelphia,79,88,93,79,71,90,0,0.1,0.4722458406133675,0.5181511622613574,9630
2022,2022-03-30,Team I,Team A,Miami,Dallas,92,71,76,89,84,84,0,0.9,0.592040040103061,0.5330057278909079,13139
2020,2020-08-04,Team G,Team E,Houston,Toronto,81,70,78,77,98,73,1,0.75,0.48996631075138364,0.5087750334761667,11754
2020,2020-09-12,Team F,Team D,Philadelphia,Toronto,77,88,79,72,89,60,1,0.5,0.5006032496959497,0.44960684054125505,8957
2022,2022-04-17,Team H,Team B,Houston,Dallas,83,85,91,83,72,85,0,0.19999999999999996,0.4852481618436825,0.4952500230049876,8714
2022,2022-01-11,Team B,Team D,New York,New York,78,74,78,85,60,82,0,0.6,0.4825936119516735,0.5196671564919196,12747
2021,2021-02-07,Team E,Team H,Boston,Toronto,81,73,83,70,83,81,1,0.5,0.5043775875933036,0.45363822684713395,8497
2021,2021-09-18,Team F,Team C,Toronto,Toronto,84,85,94,87,87,93,0,0.1,0.5174322194972939,0.42841987736794696,12162
2020,2020-12-22,Team D,Team A,Dallas,Miami,90,70,80,88,91,97,0,0.9,0.5307903794279248,0.4556276002124832,11140
2023,2023-11-07,Team C,Team J,Dallas,New York,87,81,84,87,60,82,0,0.75,0.4562456626299913,0.4628943965277743,8270
2022,2022-10-09,Team I,Team F,Toronto,Toronto,91,73,76,71,103,81,1,0.9,0.4700506967735665,0.5555360478786373,12591
2023,2023-06-22,Team B,Team F,Phoenix,Dallas,90,71,90,88,69,84,0,0.6,0.4714404606842479,0.5248047237055783,14699
2021,2021-03-19,Team C,Team I,Boston,Dallas,85,73,79,81,71,75,0,0.9,0.537891055807352,0.48871321195210937,12085
2021,2021-10-26,Team G,Team D,Boston,Toronto,86,80,87,71,109,88,1,0.5499999999999999,0.5099497745066451,0.5225559506672305,11404
2023,2023-08-08,Team H,Team D,Dallas,Los Angeles,78,76,85,80,68,76,0,0.24999999999999994,0.45791933195741386,0.5264149036142755,9213
2023,2023-01-20,Team F,Team J,New York,New York,81,83,91,86,60,90,0,0.1,0.4633768467965232,0.49152499074827644,9004
2021,2021-09-01,Team F,Team C,Chicago,Phoenix,85,85,80,82,75,69,1,0.85,0.4948983935224251,0.483419335637235,12166
2022,2022-06-14,Team A,Team D,Phoenix,Los Angeles,88,75,85,74,97,82,1,0.75,0.4705290716031812,0.4976102334528689,12733
2020,2020-05-11,Team B,Team F,Phoenix,Boston,90,83,91,77,95,72,1,0.5499999999999999,0.4943884967547639,0.4870777418882269,7766
2022,2022-08-29,Team H,Team A,Phoenix,Phoenix,82,70,77,86,87,90,0,0.85,0.48965477476236585,0.49162983535621485,13895
2023,2023-03-22,Team F,Team I,New York,Los Angeles,80,75,93,88,65,101,0,0.1,0.49371978900017116,0.5128834606400751,8195
2020,2020-07-18,Team G,Team F,New York,Chicago,85,80,86,84,67,83,0,0.5499999999999999,0.47891575484135773,0.4924442602068307,8503
2023,2023-12-19,Team G,Team C,Dallas,Boston,78,73,86,77,84,108,0,0.19999999999999996,0.4768001631933061,0.5055605316401591,14478
2022,2022-10-03,Team H,Team I,Dallas,New York,83,86,82,83,64,60,1,0.65,0.5022082492501306,0.5424585732474441,11877
2021,2021-10-29,Team J,Team F,Dallas,Phoenix,83,81,89,73,95,75,1,0.29999999999999993,0.4998598321672098,0.5062704166675089,10125
2022,2022-05-23,Team E,Team B,Houston,Los Angeles,79,88,77,87,60,60,0,0.7,0.5048103888472981,0.4250549006184906,12248
2023,2023-11-24,Team C,Team J,New York,Houston,86,73,79,79,85,92,0,0.9,0.4818414910288097,0.4834664698887611,11672
2021,2021-11-06,Team G,Team F,Boston,Los Angeles,77,80,93,83,63,68,0,0.1,0.4174841686577205,0.45558790168828495,8453
2022,2022-07-17,Team F,Team H,Chicago,Toronto,84,75,93,85,64,106,0,0.14999999999999997,0.46046965983888355,0.5320143505792092,11274
2020,2020-11-28,Team J,Team H,Chicago,Phoenix,87,80,87,81,90,76,1,0.6,0.473608502782306,0.46618989910739184,13017
2021,2021-05-02,Team J,Team C,Philadelphia,Toronto,90,88,78,82,80,60,1,0.9,0.49153703157536094,0.4552917236001588,17180
2022,2022-07-27,Team D,Team G,Toronto,Houston,79,78,86,80,60,97,0,0.24999999999999994,0.4316023500028202,0.47589888997184054,9414
2020,2020-06-23,Team B,Team I,Toronto,Philadelphia,81,86,80,81,68,60,1,0.65,0.5309810404637808,0.43092445543483066,11360
2022,2022-05-27,Team G,Team F,Los Angeles,Dallas,81,76,79,85,60,64,0,0.7,0.48204571269292057,0.5274756343899736,12740
2021,2021-05-04,Team D,Team H,Philadelphia,New York,78,88,77,82,60,60,0,0.65,0.490312456771377,0.4960280034030218,9272
2020,2020-12-15,Team A,Team G,Toronto,Miami,81,82,93,74,95,107,0,0.1,0.4845718570555243,0.5163077571064094,9679
2021,2021-01-14,Team C,Team I,New York,Philadelphia,85,76,91,89,60,107,0,0.29999999999999993,0.5226199719931889,0.5282792124310816,8817
2020,2020-03-07,Team C,Team I,Chicago,Boston,94,75,85,83,77,79,0,0.9,0.4716665644886801,0.5423743460535434,12162
2021,2021-02-03,Team F,Team C,Toronto,Phoenix,86,81,75,77,83,60,1,0.9,0.4800674231643904,0.5029801313087339,9378
2023,2023-06-27,Team G,Team E,Toronto,Miami,75,84,80,85,61,64,0,0.35,0.4392632323895288,0.48286962246052917,11898
2021,2021-10-03,Team D,Team C,Philadelphia,Houston,88,88,87,74,112,65,1,0.65,0.4887826040166513,0.4145886862840689,9523
2022,2022-02-07,Team D,Team G,Boston,New York,93,83,91,84,80,92,0,0.7,0.46138396678169774,0.4895753169298358,9344
2023,2023-03-05,Team E,Team D,Los Angeles,Chicago,77,83,94,80,64,94,0,0.1,0.4834821190071515,0.46282309813011385,9988
2021,2021-08-03,Team B,Team D,Chicago,Boston,84,75,91,77,94,107,0,0.24999999999999994,0.511042190584823,0.5139004073438093,10457
2020,2020-09-13,Team F,Team I,Chicago,Houston,82,73,86,80,62,98,0,0.39999999999999997,0.4781641994927517,0.5167949623746396,7478
2023,2023-01-06,Team D,Team H,Houston,Miami,92,74,80,78,113,88,1,0.9,0.4303460655654401,0.4939171314852463,13363
2022,2022-11-08,Team C,Team F,Phoenix,Toronto,76,74,92,83,65,89,0,0.1,0.5356747861389138,0.4955525404028742,12067
2021,2021-08-11,Team A,Team C,Los Angeles,Los Angeles,82,87,79,79,84,60,1,0.75,0.48410129920629796,0.5019246468723316,11855
2021,2021-05-03,Team E,Team G,Chicago,Los Angeles,82,75,82,74,86,77,1,0.6,0.4928395316017087,0.5312285996985956,13482
2021,2021-09-29,Team A,Team J,Philadelphia,Houston,83,75,82,78,99,65,1,0.65,0.524409861179272,0.5341444910211706,9761
2020,2020-12-06,Team J,Team I,Toronto,Houston,84,78,80,84,62,94,0,0.8,0.43278549704456254,0.4661416825817041,8473
2021,2021-12-23,Team G,Team E,Phoenix,Philadelphia,94,72,75,89,87,84,1,0.9,0.4456581864630894,0.5088577095471286,8547
2023,2023-10-06,Team B,Team C,Los Angeles,Houston,80,76,84,73,92,93,0,0.39999999999999997,0.4524536978291842,0.49422485207692923,11318
2021,2021-01-13,Team F,Team J,Chicago,Los Angeles,83,75,93,80,60,92,0,0.1,0.4608553996445795,0.4919464156890605,10106
2022,2022-11-03,Team C,Team A,Boston,Los Angeles,77,72,80,88,60,80,0,0.44999999999999996,0.46905372352897984,0.49698860496393144,9867
2022,2022-04-25,Team E,Team J,Boston,Phoenix,76,75,93,77,70,81,0,0.1,0.5446295883689063,0.45521847806850435,11946
2022,2022-09-17,Team H,Team F,Los Angeles,Philadelphia,91,84,79,71,126,71,1,0.9,0.49418040714908673,0.4612449975847526,11206
2021,2021-10-21,Team B,Team H,Dallas,Philadelphia,77,88,86,80,72,60,1,0.14999999999999997,0.5007258419329559,0.49836567119843167,12728
2023,2023-09-19,Team J,Team G,Houston,Boston,91,87,76,78,97,61,1,0.9,0.46572065677945207,0.4663397711981789,15630
2022,2022-11-14,Team B,Team E,Dallas,Toronto,82,86,90,83,60,68,0,0.19999999999999996,0.45787410558467045,0.4895803761702039,12098
2023,2023-03-10,Team D,Team C,Houston,Miami,90,80,80,81,87,77,1,0.9,0.4672644898837003,0.4953876118264262,15245
2020,2020-09-23,Team B,Team J,Miami,Dallas,85,86,76,77,73,60,1,0.9,0.5262380724897562,0.4893107301642589,8788
2022,2022-09-20,Team G,Team J,Houston,Philadelphia,83,82,77,71,99,60,1,0.9,0.49374323992082025,0.5110790006577894,13624
2020,2020-11-16,Team D,Team E,Dallas,Toronto,78,85,82,71,74,72,1,0.39999999999999997,0.49809744092039976,0.4555189851025138,7946
2023,2023-10-18,Team F,Team I,Philadelphia,Philadelphia,82,85,86,73,81,69,1,0.39999999999999997,0.47828377737185385,0.4769531160253193,14537
2021,2021-03-18,Team E,Team C,Toronto,Philadelphia,77,72,93,88,60,105,0,0.1,0.46736711422584964,0.44979185621820006,10095
2020,2020-04-19,Team G,Team D,Toronto,Houston,75,75,79,80,60,93,0,0.39999999999999997,0.4532286842855836,0.458156655554357,8856
2021,2021-12-12,Team F,Team B,Toronto,Miami,87,82,80,87,65,70,0,0.9,0.4952819373193085,0.5717862682814965,10285
2020,2020-09-22,Team A,Team F,Phoenix,Phoenix,86,78,86,82,81,61,1,0.6,0.5330472389879539,0.48301006035928296,9218
2020,2020-07-26,Team B,Team D,Boston,Miami,94,85,86,88,87,60,1,0.9,0.523653632510336,0.532216104220731,9892
2022,2022-03-19,Team I,Team E,Dallas,Chicago,91,75,76,70,90,74,1,0.9,0.4828034306583686,0.5162380717738109,10385
2022,2022-07-14,Team E,Team G,New York,Toronto,90,76,87,80,98,102,0,0.75,0.5294365768437175,0.5734326522420299,8035
2021,2021-08-04,Team C,Team A,Los Angeles,Chicago,93,77,84,86,79,80,0,0.9,0.52061855405171,0.46946597010238594,9842
2020,2020-01-09,Team I,Team H,Chicago,Miami,77,76,89,78,60,102,0,0.1,0.44164111572442266,0.4946424161545038,11369
2023,2023-05-20,Team E,Team C,Chicago,Houston,76,87,76,75,93,60,1,0.6,0.47080889305491885,0.38367179086298975,9475
2022,2022-11-08,Team E,Team B,Toronto,Chicago,87,87,93,74,97,83,1,0.29999999999999993,0.5198212784609112,0.48197184717617575,10700
2021,2021-03-14,Team F,Team G,Phoenix,Dallas,77,88,76,75,79,62,1,0.65,0.4689631947903191,0.45229794814290813,10955
2023,2023-11-22,Team E,Team D,Toronto,Miami,85,86,78,75,109,60,1,0.9,0.45189438647049407,0.5059797647803538,11868
2022,2022-03-30,Team I,Team G,Toronto,Toronto,86,78,82,86,60,80,0,0.8,0.5182947733344574,0.5075838531899036,7945
2020,2020-06-23,Team G,Team F,Phoenix,Los Angeles,91,73,86,84,76,89,0,0.85,0.548385536284153,0.4227790187259765,7101
2022,2022-05-22,Team C,Team D,Philadelphia,Los Angeles,81,79,81,84,73,85,0,0.6,0.493520159543395,0.46850023827517495,8556
2020,2020-04-28,Team B,Team E,New York,Houston,77,89,89,75,79,62,1,0.1,0.4887207548238429,0.4988598321521549,12326
2022,2022-06-29,Team E,Team B,Phoenix,Boston,77,73,76,80,60,73,0,0.65,0.46483148356581383,0.4446265601790638,9646
2023,2023-03-20,Team I,Team F,Houston,Philadelphia,81,83,86,72,95,92,1,0.35,0.5023538007627616,0.4587041817136253,13652
2020,2020-10-25,Team B,Team F,Boston,Phoenix,84,74,92,73,95,105,0,0.19999999999999996,0.48027060800599186,0.5006320508664791,5384
2022,2022-11-12,Team C,Team B,Los Angeles,Toronto,78,78,94,76,80,104,0,0.1,0.4310014585442133,0.44609037896940207,11224
2023,2023-12-03,Team D,Team F,Toronto,New York,80,88,90,71,91,60,1,0.1,0.46369609409160284,0.4557030028845537,11471
2022,2022-06-20,Team F,Team I,Los Angeles,Dallas,78,88,89,80,60,72,0,0.1,0.42702378671989344,0.4952058220386615,10757
2020,2020-06-21,Team F,Team A,Phoenix,New York,82,88,85,80,60,64,0,0.44999999999999996,0.5002313149881527,0.4967086389863396,11107
2020,2020-07-18,Team F,Team H,Philadelphia,Miami,79,71,86,70,88,87,1,0.24999999999999994,0.46931079769689016,0.5271022662024095,9972
2022,2022-06-12,Team A,Team D,Los Angeles,Los Angeles,84,79,79,73,97,80,1,0.85,0.4389683754281729,0.4556354791816401,10785
2023,2023-09-30,Team B,Team G,Boston,Dallas,90,76,77,72,92,68,1,0.9,0.5468085247245987,0.49289649002327995,11328
2022,2022-11-02,Team H,Team G,Philadelphia,Houston,77,87,82,79,79,60,1,0.35,0.5307854550150799,0.466707731618374,13399
2022,2022-09-18,Team F,Team H,Phoenix,Miami,83,89,82,79,104,60,1,0.65,0.4499461853750428,0.4348834912216093,9688
2022,2022-11-12,Team F,Team H,New York,Miami,90,72,83,83,85,95,0,0.9,0.5018168638075959,0.49731092856289405,11967
2020,2020-07-05,Team J,Team A,New York,Chicago,78,84,86,74,76,69,1,0.19999999999999996,0.46712434550856624,0.47791928632500835,11651
2023,2023-03-30,Team F,Team J,Chicago,Houston,80,74,79,86,60,95,0,0.65,0.5040131560817815,0.5381188696387635,9203
2022,2022-12-16,Team A,Team H,Philadelphia,Toronto,77,86,82,73,86,69,1,0.35,0.4527025557853214,0.5005771457135304,10039
2021,2021-02-09,Team J,Team I,Chicago,Los Angeles,86,85,80,80,79,60,1,0.9,0.4433330975533223,0.5274194660054587,11542
2023,2023-04-27,Team F,Team C,Chicago,Chicago,92,82,84,76,115,87,1,0.9,0.4907534327557421,0.5234626285289963,11280
2020,2020-09-11,Team I,Team H,Los Angeles,Houston,92,74,85,88,83,85,0,0.9,0.5366255883776977,0.4938768422825733,9495
2023,2023-09-15,Team I,Team C,Chicago,Toronto,87,77,84,71,116,60,1,0.75,0.48303827700032237,0.4286156626711739,12924
2022,2022-01-06,Team C,Team J,Boston,Boston,77,87,83,74,72,60,1,0.29999999999999993,0.4675700724750928,0.46095858221087216,15269
2023,2023-12-11,Team B,Team A,Dallas,Miami,87,88,91,86,78,74,1,0.39999999999999997,0.4950152453846445,0.5303232540578248,12313
2023,2023-08-13,Team E,Team G,Boston,Houston,79,73,81,77,87,77,1,0.5,0.4524295519412356,0.48940767741475905,12689
2022,2022-04-15,Team C,Team B,Miami,Los Angeles,80,82,88,85,61,70,0,0.19999999999999996,0.48360769655684194,0.4510581335457226,11029
2023,2023-07-15,Team D,Team E,Toronto,New York,77,85,87,80,60,71,0,0.1,0.5013516899758612,0.42070552899345975,12900
2021,2021-01-03,Team I,Team B,Miami,Toronto,92,83,76,80,86,63,1,0.9,0.48751980387381577,0.5017039005122309,11314
2020,2020-06-08,Team C,Team F,Chicago,Los Angeles,84,89,85,71,99,60,1,0.5499999999999999,0.5272340958373176,0.41883353304955406,12039
2023,2023-10-09,Team G,Team H,Chicago,Houston,84,72,78,86,71,75,0,0.9,0.47106538509767265,0.45757400080560195,13448
2022,2022-03-13,Team I,Team C,Miami,Toronto,89,86,86,83,75,81,0,0.75,0.5139546492810518,0.45256492054868586,10814
2022,2022-11-17,Team F,Team E,Houston,Phoenix,87,79,80,85,78,60,1,0.9,0.4831891075553192,0.4405739196752767,12014
2020,2020-01-26,Team J,Team D,Chicago,Toronto,88,75,81,75,94,91,1,0.9,0.4671475474273919,0.4585042750169704,8814
2020,2020-09-03,Team H,Team I,Houston,Boston,76,72,86,89,60,95,0,0.1,0.465013813347229,0.4983220658816252,10606
2023,2023-08-25,Team I,Team D,Chicago,Philadelphia,92,82,88,84,85,79,1,0.8,0.5416148546327179,0.44804042722115983,12924
2023,2023-04-30,Team C,Team B,New York,Boston,86,80,81,83,74,72,1,0.85,0.4872242438264388,0.48003326170292465,15383
2021,2021-01-29,Team B,Team I,Los Angeles,Los Angeles,94,87,93,80,91,91,0,0.65,0.4778630503482277,0.5324620475365976,9283
2020,2020-09-26,Team G,Team A,Chicago,Chicago,76,76,88,83,60,96,0,0.1,0.4668335320881473,0.44894592537917455,13530
2023,2023-04-19,Team E,Team H,Chicago,Dallas,76,73,81,80,63,89,0,0.35,0.5021197363787938,0.5121239032064584,13094
2023,2023-02-07,Team D,Team A,Miami,Los Angeles,83,86,81,84,60,72,0,0.7,0.4495260390396989,0.48953747511240847,13140
2021,2021-03-24,Team E,Team I,Boston,Los Angeles,93,80,80,78,99,72,1,0.9,0.4592712004208765,0.4956110398382685,9539
2023,2023-06-14,Team H,Team B,Boston,Philadelphia,81,79,89,76,88,77,1,0.19999999999999996,0.5176885237394332,0.5078438584656665,9232
2020,2020-05-29,Team F,Team I,New York,Boston,77,87,89,81,65,60,1,0.1,0.46676569010816515,0.48523233328652676,10364
2022,2022-12-15,Team C,Team A,Miami,Los Angeles,88,80,87,74,98,80,1,0.65,0.5089262065896075,0.4703979833441186,7910
2022,2022-08-11,Team E,Team D,Chicago,Chicago,81,72,82,78,72,89,0,0.5499999999999999,0.5197173508686099,0.4761322444903733,8915
2020,2020-12-07,Team I,Team H,Boston,Los Angeles,93,73,91,80,86,115,0,0.7,0.546848938492654,0.41068759677172506,9580
2020,2020-05-19,Team H,Team C,Phoenix,Toronto,82,80,94,81,74,105,0,0.1,0.45358824703226513,0.4872830670933036,9585
2021,2021-01-13,Team I,Team H,Phoenix,Miami,77,83,79,70,105,60,1,0.5,0.47964448380222263,0.4610239721393321,12696
2020,2020-10-06,Team H,Team I,Miami,Boston,89,76,93,74,93,101,0,0.39999999999999997,0.3817044254926667,0.47310826393267363,11265
2020,2020-06-01,Team G,Team C,Philadelphia,Houston,84,85,94,74,76,102,0,0.1,0.5123569430835716,0.4924327072712177,11279
2020,2020-04-12,Team I,Team D,Houston,New York,78,71,90,74,68,99,0,0.1,0.5051844864622846,0.39462698438929095,8564
2023,2023-02-26,Team D,Team I,Phoenix,Toronto,88,73,93,83,86,104,0,0.35,0.5058616428309081,0.4893073307013166,13916
2021,2021-01-03,Team E,Team D,Los Angeles,Houston,80,83,92,75,68,85,0,0.1,0.4666214837424012,0.4769490378455464,9326
2023,2023-07-13,Team A,Team H,Phoenix,New York,76,85,85,89,60,73,0,0.14999999999999997,0.4554648284576674,0.4618295178370526,7991
2021,2021-02-08,Team H,Team J,Houston,Chicago,80,76,76,81,85,68,1,0.8,0.4894042633886178,0.47381725540903374,9145
2021,2021-05-16,Team H,Team E,Houston,Dallas,92,78,82,79,95,75,1,0.9,0.4961364291873422,0.4658953554969467,12501
2021,2021-08-13,Team B,Team G,Boston,Houston,75,88,82,77,73,60,1,0.24999999999999994,0.46583060565879375,0.47640801036773,14683
2022,2022-12-09,Team F,Team C,Chicago,Boston,85,84,86,74,87,69,1,0.5499999999999999,0.5105018397298792,0.4735941095044096,12010
2023,2023-11-11,Team E,Team B,New York,New York,83,72,89,77,81,110,0,0.29999999999999993,0.45381204836651945,0.5017734977356121,10126
2023,2023-09-29,Team B,Team I,Chicago,Philadelphia,78,78,77,83,60,65,0,0.65,0.530455949655285,0.4515076113151982,12443
2020,2020-07-10,Team G,Team F,New York,Houston,83,70,93,85,60,104,0,0.1,0.5014299457418319,0.4697427288053342,12779
2022,2022-03-26,Team B,Team A,Houston,Dallas,85,86,75,89,60,60,0,0.9,0.5038017854945314,0.4953517055687646,9805
2020,2020-06-22,Team I,Team D,Dallas,Miami,91,71,89,78,91,118,0,0.7,0.5240793710064257,0.49617476700894586,5781
2020,2020-09-11,Team A,Team C,Houston,New York,85,83,77,85,60,62,0,0.9,0.4603923093511593,0.5376428569561472,7812
2023,2023-11-03,Team C,Team E,Dallas,Chicago,92,80,83,76,100,91,1,0.9,0.4780197715961573,0.4532323422691517,13395
2022,2022-11-10,Team E,Team J,Boston,Los Angeles,76,88,93,71,76,73,1,0.1,0.48853230589762203,0.5306166865033308,10096
2020,2020-07-04,Team J,Team G,Philadelphia,Los Angeles,82,75,94,72,76,119,0,0.1,0.45997899163251377,0.4938561809668616,10737
2020,2020-03-29,Team A,Team G,Philadelphia,Houston,89,74,83,85,80,84,0,0.9,0.490754703131385,0.4612204875222488,13886
2020,2020-12-18,Team B,Team J,Chicago,Miami,81,80,85,77,81,88,0,0.39999999999999997,0.4639283596332505,0.5198724967386018,12940
2021,2021-01-10,Team I,Team A,Miami,Boston,85,83,91,72,87,79,1,0.29999999999999993,0.49453839919792497,0.5300106746153844,11379
2022,2022-07-02,Team F,Team C,Boston,Chicago,85,77,94,84,60,104,0,0.14999999999999997,0.4846369645129339,0.5147952343679656,13102
2022,2022-08-29,Team E,Team H,Philadelphia,Chicago,91,75,86,88,95,107,0,0.85,0.4982597428696897,0.5064517851534914,9404
2020,2020-01-15,Team J,Team H,Los Angeles,Phoenix,88,89,87,78,76,60,1,0.65,0.4350147871408833,0.4939200547589497,11752
2022,2022-04-01,Team D,Team I,New York,Phoenix,78,81,90,74,68,96,0,0.1,0.4776213989610108,0.48655902014501107,7190
2022,2022-01-22,Team F,Team A,Houston,Philadelphia,92,77,89,85,86,107,0,0.75,0.44031536362928336,0.4988774286819354,11460
2020,2020-06-16,Team H,Team F,Chicago,Philadelphia,94,73,80,88,85,74,1,0.9,0.5050576702057555,0.4879788854036201,11258
2021,2021-01-28,Team C,Team G,New York,New York,86,87,92,86,60,84,0,0.29999999999999993,0.4069982832805806,0.4566570417724109,10717
2020,2020-05-29,Team I,Team J,Chicago,Los Angeles,83,75,87,70,76,107,0,0.39999999999999997,0.48392683195480113,0.4522855158372076,8504
2023,2023-10-30,Team E,Team I,Phoenix,Chicago,76,81,78,87,60,60,0,0.5,0.46760564546743205,0.5135040040759088,13685
2023,2023-04-07,Team J,Team E,Toronto,Dallas,78,80,89,87,60,93,0,0.1,0.5326834230988599,0.45189336114554013,12494
2022,2022-07-24,Team C,Team F,Los Angeles,Houston,89,72,84,72,114,88,1,0.85,0.479170600281054,0.4841730350832341,12535
2023,2023-07-13,Team I,Team C,Toronto,Dallas,81,86,79,82,67,71,0,0.7,0.4711981403337973,0.46881565480002885,12095
2021,2021-12-23,Team B,Team H,Boston,Miami,93,75,82,73,112,90,1,0.9,0.47778724044865656,0.5231491194397031,10911
2021,2021-07-20,Team J,Team E,Miami,Toronto,93,75,77,76,97,69,1,0.9,0.4681436078278873,0.47418321944926345,10162
2022,2022-12-17,Team G,Team B,Boston,Philadelphia,94,81,77,73,115,60,1,0.9,0.5081639246507956,0.47963391126946436,10466
2020,2020-03-04,Team G,Team F,Philadelphia,Houston,79,79,78,88,60,60,0,0.65,0.4632046098935848,0.4800496677439141,7304
2021,2021-02-13,Team I,Team H,Philadelphia,Dallas,75,87,90,76,68,62,1,0.1,0.46325547135430034,0.4676335372593188,10518
2023,2023-11-08,Team H,Team J,Houston,Phoenix,80,78,92,80,71,100,0,0.1,0.4872805669404109,0.4998968088521405,10255
2022,2022-02-19,Team E,Team G,Houston,Houston,85,79,81,87,60,67,0,0.8,0.5449786458937443,0.46986896581816784,11715
2020,2020-02-03,Team C,Team A,Boston,New York,91,85,90,84,93,72,1,0.65,0.4841380670729433,0.4653741912731438,11244
2021,2021-02-17,Team D,Team B,Chicago,Boston,94,84,89,77,99,89,1,0.85,0.5451357698539234,0.4443727112719475,13859
2022,2022-04-12,Team I,Team A,Chicago,Boston,89,80,91,71,105,101,1,0.5,0.46364297080771705,0.5341120810502078,10076
2021,2021-12-30,Team F,Team D,Toronto,New York,84,79,93,77,88,90,0,0.14999999999999997,0.4377314302763784,0.48384513509012006,9119
2023,2023-03-16,Team A,Team D,Boston,New York,85,80,91,81,71,85,0,0.29999999999999993,0.5400100625336368,0.4402670588107021,14583
2022,2022-01-28,Team I,Team E,Dallas,Chicago,92,78,80,87,87,85,1,0.9,0.520928400335678,0.49528269947091935,11811
2020,2020-02-01,Team C,Team E,Toronto,Dallas,77,71,84,78,64,93,0,0.24999999999999994,0.4782842562363713,0.46378697495656984,12610
2020,2020-07-02,Team F,Team H,Toronto,Houston,91,88,93,78,103,84,1,0.5,0.5239743927065722,0.47658418653335505,11108
2023,2023-10-26,Team C,Team J,Houston,Chicago,85,82,76,70,87,60,1,0.9,0.5274747684371743,0.4763514131933509,14726
2021,2021-05-09,Team I,Team D,Phoenix,Philadelphia,88,80,94,71,86,80,1,0.29999999999999993,0.456088402076766,0.473444909999373,13950
2020,2020-02-15,Team H,Team G,Phoenix,New York,93,87,79,80,90,60,1,0.9,0.4876285258810136,0.4596032446956962,7951
2021,2021-03-24,Team J,Team B,Miami,Dallas,80,78,80,76,79,72,1,0.6,0.4269669010905201,0.4788147889766681,11299
2020,2020-02-12,Team H,Team C,Chicago,Toronto,82,89,83,76,82,66,1,0.5499999999999999,0.5216437631563741,0.47838531825254493,9917
2022,2022-04-24,Team E,Team F,New York,Chicago,92,77,83,77,112,66,1,0.9,0.487257435834769,0.46372092202270015,12486
2022,2022-12-02,Team D,Team I,Philadelphia,Boston,94,85,76,86,77,60,1,0.9,0.4552296759644794,0.4967096585608956,10938
2020,2020-01-02,Team F,Team H,Houston,Los Angeles,80,81,89,82,60,102,0,0.14999999999999997,0.4310065476016992,0.498727678973427,9341
2021,2021-11-27,Team G,Team A,Houston,Los Angeles,89,82,94,80,100,91,1,0.35,0.5153970104357387,0.48174982165082597,10820
2023,2023-10-30,Team I,Team J,New York,Houston,86,74,86,84,73,102,0,0.6,0.4682374185484593,0.4910736112956414,13637
2021,2021-08-06,Team E,Team J,Philadelphia,Boston,87,86,81,76,82,60,1,0.9,0.46169212630343043,0.478251530180299,9864
2020,2020-05-08,Team J,Team G,Boston,Dallas,82,88,88,83,76,60,1,0.29999999999999993,0.48457721734818215,0.47136359115472715,12918
2020,2020-01-18,Team C,Team A,Toronto,Los Angeles,91,80,78,78,87,60,1,0.9,0.5080670570338063,0.5063438780979616,7794
2020,2020-04-07,Team D,Team G,Dallas,Boston,84,75,81,85,60,114,0,0.75,0.4409006960218288,0.48431906363617905,12871
2023,2023-02-13,Team C,Team F,Toronto,New York,75,73,79,72,74,61,1,0.39999999999999997,0.46535464643942476,0.4495706176317098,15427
2021,2021-04-07,Team F,Team C,Philadelphia,Boston,76,82,94,77,69,89,0,0.1,0.45044985480196037,0.5253589650089115,9188
2022,2022-12-01,Team B,Team F,Philadelphia,Houston,91,75,86,72,96,77,1,0.85,0.48723542962656546,0.4784153602899774,15070
2020,2020-08-09,Team F,Team A,Chicago,New York,76,71,90,80,60,109,0,0.1,0.4599995105157636,0.4802497792503241,11466
2023,2023-08-24,Team J,Team B,Phoenix,Toronto,83,80,87,88,62,70,0,0.39999999999999997,0.4724486175459951,0.460779259414438,8388
2023,2023-05-11,Team H,Team B,Toronto,Miami,87,74,82,76,79,92,0,0.85,0.5138242082221063,0.4693174922026273,13324
2022,2022-12-13,Team E,Team J,Dallas,Boston,92,88,94,76,105,79,1,0.5,0.5616787052371909,0.5011626451847965,14506
